Pclass,Age,Fare,Sex_female,Sex_male,Survived
1.0,0.2711736617240512,0.027566539923954372,0,1,0
0.0,0.4722292033174164,0.27103916349809887,1,0,1
1.0,0.32143754712239253,0.030133079847908743,1,0,1
0.0,0.4345312892686604,0.20190114068441065,1,0,1
1.0,0.4345312892686604,0.03060836501901141,0,1,0
1.0,0.34656948982156316,0.03216083650190114,0,1,0
0.0,0.6732847449107816,0.19719581749049428,0,1,0
1.0,0.01985423473234481,0.08013307984790874,0,1,0
1.0,0.33400351847197784,0.042331939163498096,1,0,1
0.5,0.17064589092736868,0.11433764258555132,1,0,1
1.0,0.04498617743151546,0.06349809885931558,1,0,1
0.0,0.723548630309123,0.10095057034220532,1,0,1
1.0,0.24604171902488062,0.03060836501901141,0,1,0
1.0,0.4847951746670017,0.11891634980988593,0,1,0
1.0,0.17064589092736868,0.029863878326996197,1,0,0
0.5,0.685850716260367,0.060836501901140684,1,0,1
1.0,0.01985423473234481,0.11074144486692016,0,1,0
0.5,0.34656948982156316,0.049429657794676805,0,1,1
1.0,0.38426740387031916,0.06844106463878327,1,0,0
1.0,0.34656948982156316,0.027471482889733837,1,0,1
0.5,0.4345312892686604,0.09885931558935361,0,1,0
0.5,0.4219653179190751,0.049429657794676805,0,1,1
1.0,0.18321186227695402,0.030529277566539923,1,0,1
0.0,0.34656948982156316,0.13498098859315588,0,1,1
1.0,0.09525006282985675,0.08013307984790874,1,0,0
1.0,0.4722292033174164,0.11934410646387833,1,0,1
1.0,0.34656948982156316,0.027471482889733837,0,1,0
0.0,0.2334757476752953,1.0,0,1,0
1.0,0.34656948982156316,0.02995893536121673,1,0,1
1.0,0.34656948982156316,0.030022053231939166,0,1,0
0.0,0.49736114601658704,0.1054022813688213,0,1,0
0.0,0.34656948982156316,0.5571133079847909,1,0,1
1.0,0.34656948982156316,0.029467680608365018,1,0,1
0.5,0.8240764011058055,0.039923954372623575,0,1,0
0.0,0.34656948982156316,0.3124365019011407,0,1,0
0.0,0.5224930887157577,0.19771863117870722,0,1,0
1.0,0.34656948982156316,0.027487452471482886,0,1,1
1.0,0.2586076903744659,0.03060836501901141,0,1,0
1.0,0.22090977632571,0.06844106463878327,1,0,0
1.0,0.17064589092736868,0.04274410646387833,1,0,1
1.0,0.49736114601658704,0.036026615969581746,1,0,0
0.5,0.33400351847197784,0.07984790874524715,1,0,0
1.0,0.34656948982156316,0.030022053231939166,0,1,0
0.5,0.032420206081930136,0.15809581749049428,1,0,1
1.0,0.2334757476752953,0.02995893536121673,1,0,1
1.0,0.34656948982156316,0.03060836501901141,0,1,0
1.0,0.34656948982156316,0.058935361216730035,0,1,0
1.0,0.34656948982156316,0.029467680608365018,1,0,1
1.0,0.34656948982156316,0.08243041825095057,0,1,0
1.0,0.22090977632571,0.06768060836501902,1,0,0
1.0,0.08268409148027142,0.15090304182509506,0,1,0
1.0,0.2586076903744659,0.02965779467680608,0,1,0
0.0,0.610454888162855,0.29174600760456276,1,0,1
0.5,0.35913546117114853,0.09885931558935361,1,0,1
0.0,0.8115104297562202,0.23566235741444866,0,1,0
0.0,0.34656948982156316,0.13498098859315588,0,1,1
0.5,0.2586076903744659,0.039923954372623575,1,0,1
1.0,0.35285247549635584,0.027487452471482886,0,1,0
0.5,0.05755214878110078,0.10551330798479087,1,0,1
1.0,0.1329479768786127,0.17832699619771863,0,1,0
1.0,0.2711736617240512,0.027487452471482886,0,1,0
0.0,0.5601910027645137,0.3173954372623574,0,1,0
1.0,0.04498617743151546,0.10608365019011406,0,1,0
0.0,0.34656948982156316,0.1054022813688213,0,1,0
1.0,0.34656948982156316,0.05796882129277566,0,1,0
0.5,0.35913546117114853,0.039923954372623575,1,0,1
1.0,0.2334757476752953,0.031020152091254756,0,1,1
1.0,0.20834380497612465,0.030133079847908743,1,0,0
1.0,0.32143754712239253,0.03293726235741445,0,1,1
0.5,0.39683337521990447,0.039923954372623575,0,1,0
1.0,0.19577783362653933,0.17832699619771863,1,0,0
0.5,0.2586076903744659,0.279467680608365,0,1,0
1.0,0.32143754712239253,0.05495893536121673,0,1,0
1.0,0.39683337521990447,0.214812927756654,0,1,0
1.0,0.3088715757728072,0.02908745247148289,0,1,1
1.0,0.34656948982156316,0.030022053231939166,0,1,0
1.0,0.34656948982156316,0.03060836501901141,0,1,0
0.5,0.005152048253329982,0.11026615969581749,0,1,0
1.0,0.37170143252073384,0.047433460076045625,1,0,1
1.0,0.2711736617240512,0.034220532319391636,0,1,1
1.0,0.35913546117114853,0.03612167300380228,0,1,0
1.0,0.34656948982156316,0.029610266159695815,1,0,1
0.0,0.34656948982156316,0.1790874524714829,0,1,1
0.5,0.20834380497612465,0.039923954372623575,1,0,0
1.0,0.4093993465694898,0.06026615969581749,1,0,1
1.0,0.19577783362653933,0.13070342205323193,0,1,1
1.0,0.34656948982156316,0.03060836501901141,0,1,0
0.0,0.2837396330736366,1.0,1,0,0
1.0,0.2963056044232219,0.03060836501901141,0,1,1
1.0,0.35913546117114853,0.03060836501901141,0,1,0
1.0,0.24604171902488062,0.029863878326996197,0,1,0
0.0,0.5727569741140991,0.23260456273764257,0,1,0
1.0,0.32143754712239253,0.07823193916349809,0,1,0
1.0,0.7361146016587082,0.027566539923954372,0,1,0
1.0,0.34656948982156316,0.03060836501901141,0,1,0
0.0,0.8869062578537321,0.13176501901140686,0,1,0
0.0,0.2837396330736366,0.24090608365019012,0,1,0
0.5,0.4219653179190751,0.08745247148288973,1,0,1
0.5,0.4219653179190751,0.09885931558935361,0,1,1
1.0,0.34656948982156316,0.030022053231939166,1,0,0
1.0,0.34656948982156316,0.030022053231939166,0,1,0
0.0,0.2586076903744659,0.29386882129277564,0,1,0
1.0,0.4093993465694898,0.03290570342205323,0,1,0
1.0,0.4596632319678311,0.030133079847908743,0,1,0
1.0,0.34656948982156316,0.030022053231939166,0,1,0
